Flat Size,Location,Builder's Rating,Area Type,Neighborhood Tier,Crime Rate,Floor Number,Age of Property,Nearby Amenities,Green Cover,Market Demand,Security Features,RERA-Approved,Urban Integration Index,Flat Price (in Lakhs)
3BHK,Hyderabad,B,Commercial,Affordable,High,15,26,Medium,0.83,1.22,Advanced,1,0.7,194.9
2BHK,Delhi,C,Residential,Affordable,Medium,20,7,Medium,0.44,0.91,Basic,1,0.63,88.86
3BHK,Kolkata,C,Residential,High-End,Low,12,12,High,0.64,0.91,Basic,0,0.76,130.27
3BHK,Bangalore,C,Residential,Affordable,Medium,15,40,Medium,0.17,0.94,Advanced,0,0.75,95.77
2BHK,Hyderabad,C,Residential,Affordable,High,2,34,High,0.82,1.18,Advanced,1,0.8,97.08
3BHK,Kolkata,C,Residential,Affordable,Low,1,27,Medium,0.84,0.95,Basic,1,0.49,67.9
3BHK,Bangalore,C,Residential,Affordable,Low,12,28,Medium,0.82,1.43,Premium,1,0.71,173.22
2BHK,Kolkata,D,Residential,Mid-Range,Medium,10,19,High,0.6,0.81,Premium,1,0.21,59.77
1BHK,Bangalore,C,Commercial,Mid-Range,Low,4,29,Medium,0.56,1.25,Premium,0,0.35,123.4
1BHK,Delhi,D,Residential,Mid-Range,Medium,16,2,Medium,0.78,0.99,Basic,1,0.37,89.11
2BHK,Bangalore,D,Residential,High-End,Medium,10,26,High,0.5,1.13,Premium,0,0.48,170.6
3BHK,Hyderabad,C,Residential,Affordable,Low,19,34,Medium,0.53,1.3,Basic,1,0.26,144.15
2BHK,Mumbai,A,Industrial,High-End,Medium,17,42,High,0.83,0.96,Advanced,1,0.66,286.79
3BHK,Kolkata,C,Residential,High-End,Medium,20,50,Medium,0.64,1.17,Advanced,0,0.85,162.92
1BHK,Delhi,A,Industrial,Affordable,Low,14,8,Medium,0.24,1.26,Basic,1,0.89,92.0
1BHK,Mumbai,B,Residential,High-End,Medium,14,46,Low,0.44,0.98,Advanced,1,0.56,175.71
1BHK,Hyderabad,C,Residential,Mid-Range,Medium,2,44,Medium,0.4,1.48,Basic,1,0.43,105.16
1BHK,Bangalore,A,Industrial,High-End,Medium,10,11,Medium,0.32,0.89,Basic,1,0.37,106.57
1BHK,Chennai,C,Residential,Affordable,Medium,11,37,Low,0.54,1.37,Basic,1,0.78,64.06
3BHK,Kolkata,C,Residential,Mid-Range,Medium,18,4,Medium,0.52,1.21,Premium,1,0.25,119.34
2BHK,Kolkata,D,Residential,Affordable,Medium,10,22,High,0.6,1.38,Basic,1,0.79,72.05
3BHK,Chennai,B,Residential,Mid-Range,Medium,13,32,Medium,0.9,1.2,Basic,0,0.86,200.56
4BHK,Bangalore,D,Residential,Mid-Range,Medium,8,23,Medium,0.72,1.12,Basic,0,0.89,282.07
1BHK,Chennai,B,Residential,Affordable,Low,14,37,Medium,0.18,1.39,Basic,1,0.72,71.96
3BHK,Bangalore,D,Residential,Affordable,Medium,16,2,Low,0.6,1.02,Basic,1,0.24,102.05
1BHK,Delhi,B,Residential,Affordable,Medium,3,27,Medium,0.32,1.18,Advanced,1,0.31,94.76
2BHK,Bangalore,B,Residential,Affordable,Low,20,1,Low,0.24,1.39,Basic,1,0.24,145.5
2BHK,Delhi,B,Residential,Affordable,Low,13,19,High,0.36,1.05,Premium,1,0.64,126.81
2BHK,Chennai,C,Residential,Mid-Range,Medium,18,23,Medium,0.63,0.92,Premium,1,0.81,96.87
2BHK,Delhi,C,Commercial,High-End,Medium,20,29,Low,0.12,1.05,Basic,1,0.67,232.95
3BHK,Bangalore,B,Commercial,Mid-Range,Low,14,26,Medium,0.67,0.87,Basic,1,0.35,209.15
2BHK,Bangalore,D,Residential,Mid-Range,High,11,39,Low,0.83,1.43,Advanced,1,0.26,165.19
4BHK,Mumbai,C,Commercial,Mid-Range,High,8,23,Medium,0.73,1.36,Basic,1,0.26,521.77
2BHK,Chennai,B,Industrial,Mid-Range,Medium,10,14,Medium,0.77,1.47,Premium,0,0.48,131.38
2BHK,Mumbai,D,Industrial,Mid-Range,Medium,16,13,Medium,0.53,1.46,Basic,1,0.6,172.91
2BHK,Chennai,B,Industrial,Mid-Range,Low,4,12,Medium,0.61,1.13,Premium,1,0.26,101.17
3BHK,Bangalore,A,Residential,High-End,High,19,23,Low,0.24,0.82,Basic,1,0.39,241.54
